name;type;alignment;ac;armor_type;hit_points;hit_die;speed;str;dex;con;int;wis;cha;save_throws;skills;dam_resist;dam_immune;cond_immune;senses;language;challenge;xp;none;actions;leg_actions;abilities
Acolyte; Medium humanoid (any race); any alignment; 10; ; 9; 2d8; 30 ft.; 10; 10; 10; 10; 14; 11; ; Medicine +4, Religion +2; ; ; ; passive Perception 10; any one language (usually Common); 1/4; 50; ; Club. Melee Weapon Attack: +2 to hit, reach 5 ft., one target.<br>Hit: 2 (1d4) bludgeoning damage.; ; Spellcasting.The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with <br>spell attacks). The acolyte has following cleric spells prepared:<br>Cantrips (at will): light, sacred flame, thaumaturgy<br>1st level (3 slots): bless, cure wounds, sanctuary
Adult Blue Dragon; Huge dragon; lawful evil; 19; natural armor; 225; 18d12+108; 40 ft., burrow 30 ft., fly 80 ft.; 25; 10; 23; 16; 15; 19; Dex +5, Con +11, Wis +7, Cha +9; Perception +12, Stealth +5; ; lightning; ; blindsight 60 ft., darkvision 120 ft., passive Perception 22; Common, Draconic; 16; 15,000; ; Multiattack.The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.<br>Bite. Melee Weapon Attack:+12 to hit, reach 10 ft., one target. <br>Hit: 18 (2d10 + 7) piercing damage plus 5 (1d10) lightning damage.<br>Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. <br>Hit:14 (2d6 + 7) slashing damage.<br>Tail. Melee Weapon Attack: +12 to hit, reach 15 ft., one target. <br>Hit:16 (2d8 + 7) bludgeoning damage.<br><br>Lightning Breath (Recharge 5–6). The dragon exhales lightning <br>in a 90-foot line that is 5 feet wide. Each creature in that line <br>must make a DC 19 Dexterity saving throw, taking 66 (12d10) <br>lightning damage on a failed save, or half as much damage on <br>a successful one.; Legendary Resistance (3/Day).If the dragon fails a saving throw, it can choose to succeed instead.<br>The dragon can take 3 legendary actions, choosing from the options below. Only one legendary action option can be used at a time and only at the end of another creature's turn. The dragon regains spent legendary actions at the start of its turn.<br>Detect.The dragon makes a Wisdom (Perception) check.<br>Tail Attack. The dragon makes a tail attack.<br>Wing Attack (Costs 2 Actions).The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.; Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.
Adult White Dragon; Hufe Dragon; chaotic evil; 18; natural armor; 200; 16d12+96; 40 ft., burrow 30 ft., fly 80 ft., swim 40 ft.; 22; 10; 22; 8; 12; 12; Dex +5, Con +11, Wis +6, Cha +6; Perception +11, Stealth +5; ; cold; ; blindsight 60 ft., darkvision 120 ft., passive Perception 21; Common, Draconic; 13; 10,000; ; Multiattack.The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.<br>Bite. Melee Weapon Attack:+11 to hit, reach 10 ft., one target. <br>Hit:17 (2d10 + 6) piercing damage plus 4 (1d8) cold damage.<br>Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. <br>Hit:13 (2d6 + 6) slashing damage.<br>Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. <br>Hit:15 (2d8 + 6) bludgeoning damage.<br>Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 14 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.<br>Cold Breath (Recharge 5–6). The dragon exhales an icy blast in a 60-foot cone. Each creature in that area must make a DC 19 Constitution saving throw, taking 54 (12d8) cold damage on a failed save, or half as much damage on a successful one.<br>; Legendary Resistance (3/Day).If the dragon fails a saving throw, it can choose to succeed instead.; Ice Walk.The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doesn't cost it extra moment.<br>
Air Elemental; Large elemental; neutral; 15; ; 90; 12d10+24; 0 ft., fly 90 ft. (hover); 14; 20; 14; 6; 10; 6; ; ; lightning, thunder, bludgeoning, piercing,  and slashing from nonmagical weapons; poison; exhaustion, grappled, paralyzed,  petrified, poisoned, prone, restrained, unconscious; darkvision 60 ft., passive Perception 10; Auran; 5; 1,800; ; Multiattack. The elemental makes two slam attacks.<br>Slam. Melee Weapon Attack:+8 to hit, reach 5 ft., one target. <br>Hit: 14 (2d8 + 5) bludgeoning damage.<br>Whirlwind (Recharge 4–6).Each creature in the elemental's space must make a DC 13 Strength saving throw. On a failure, a target takes 15 (3d8 + 2) bludgeoning damage and is flung up 20 feet away from the elemental in a random direction and knocked prone. If a thrown target strikes an object, such as a wall or floor, the target takes 3 (1d6) bludgeoning damage for every 10 feet it was thrown. If the target is thrown at another creature, that creature must succeed on a DC 13 Dexterity saving throw or take the same damage and be knocked prone.If the saving throw is successful, the target takes half the bludgeoning damage and isn't flung away or knocked prone.<br>; ; Air Form. The elemental can enter a hostile creature's space and stop there. It can move through a space as narrow as 1 inch wide without squeezing.
Ambush Drake; Medium Dragon; unaligned; 13; natural armor; 22; 4d6+8; 30 ft.; 13; 15; 14; 4; 11; 6; ; Perception +4, Stealth +4; poison; ; ; darkvision 60 ft., passive Perception 14; understands Draconic but can't speak; 1/2; 100; ; Bite.<br>Melee Weapon Attack:+4 to hit, reach 5 ft., one target.<br>Hit:4 (1d6 + 1) piercing damage.; ; Pack Tactics.<br>The drake has advantage on an attack roll against a creature if at least one of the drake's allies is within 5 feet of the creature and the ally isn't incapacitated.<br>Surprise Attack.<br>If the drake surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.
Assassin; Medium humanoid (any race); any non-good alignment; 15; studded leather; 78; 12d8+24; 30 ft.; 11; 16; 14; 13; 11; 10; Dex +7, Int +5; Acrobatics +7, Deception +4, Perception +4, Stealth +11; poison; ; ; passive Perception 14; Thieves' cant plus any two languages; 8; 3,900; ; Multiattack. The assassin makes two shortsword attacks.<br>Shortsword. Melee Weapon Attack:+7 to hit, reach 5 ft., one target. <br>Hit:6 (1d6 + 3) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.<br>Light Crossbow. Ranged Weapon Attack:+7 to hit, range 80/320 ft., one target. <br>Hit:7 (1d8 + 3) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.<br>; ; Assassinate.During its first turn, the assassin has advantage on attack rolls against any creature that hasn't taken a turn. Any hit the assassin scores against a surprised creature is a critical hit.<br>Evasion.If the assassin is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the assassin instead takes no damage if it succeeds on the saving throw, and only half damage if it fails.<br>Sneak Attack (1/Turn).The assassin deals an extra 13 (4d6) damage when it hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of the assassin that isn't incapacitated and the assassin doesn't have disadvantage on the attack roll.<br>
Azbara Jos; Medium Humanoid; lawful evil; 13; 16 with Mage Armor; 39; 6d8+12; 0´30 ft.; 9; 16; 14; 16; 13; 11; Int +5, Wis +3; Arcana +5, Deception +2, Insight +3, Stealth +5; ; ; ; passive Perception 11; Common, Draconic, Infernal, Primordial, Thayan; 4; 1,000; ; Dagger. Melee or Ranged Weapon Attack:+5 to hit, reach 5 ft. or ranged 20 ft./60 ft., one target. <br>Hit: 5 (1d4 + 3) piercing damage.; ; Special Equipment.<br>Azbara has two scrolls of mage armor.<br>Potent Cantrips.<br>When Azbara casts an evocation cantrip and misses, or the target succeeds on its saving throw, the target still takes half the cantrip's damage but suffers no other effect.<br>Sculpt Spells.<br>When Azbara casts an evocation spell that affects other creatures that he can see, he can choose a number of them equal to 1 + the spell's level to succeed on their saving throws against the spell. Those creatures take no damage if they would normally take half damage from the spell.<br>Spellcasting.<br>Azbara is a 6th-level spellcaster that uses Intelligence as his spellcasting ability (spell save DC 13, +5 to hit with spell attacks). Azbara has the following spells prepared from the wizard spell list:<br>Cantrips (at will): mage hand, restidigitation, ray of frost,shocking grasp<br>1st level (4 slots): fog cloud, magic missile, shield, thunderwave<br>2nd level (3 slots): invisibility, misty step, scorching ray<br>3rd level (3 slots): counterspell, dispel magic, fireball
Bandit; Medium humanoid (any race); any non-lawful alignment; 12; leather armor; 11; 2d8+2; 30 ft.; 11; 12; 12; 10; 10; 10; ; ; ; ; ; passive Perception 10; any one language (usually Common); 1/8; 25; ; Scimitar. Melee Weapon Attack:+3 to hit, reach 5 ft., one target. <br>Hit:4 (1d6 + 1) slashing damage.<br>Light Crossbow. Ranged Weapon Attack:+3 to hit, range 80 ft./320 ft., one target.<br>Hit: 5 (1d8 + 1) piercing damage.<br>; ;
Berserker; Medium humanoid (any race); any chaotic alignment; 13; hide armor; 67; 9d8+27; 30 ft.; 16; 12; 17; 9; 11; 9; ; ; ; ; ; passive Perception 10; any one Language (usually Common); 2; 450; ; Greataxe. Melee Weapon Attack: +5 to hit, reach 5 ft., one target.<br>Hit:9 (1d12 + 3) slashing damage.; ; Reckless. At the start of its turn, the berserker can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn.
Blagothkus; Huge Giant; neutral evil; 17; splint; 138; 12d12+60; 40 ft.; 26; 13; 20; 16; 15; 15; Con +9, Wis +6, Cha +6; Arcana +7, Insight +6, Intimidation +6, Perception +6; ; ; ; passive Perception 16; Common, Draconic, Giant; 9; 5,000; ; Multiattack. <br>Blagothkus attacks twice with his morningstar.<br>Morningstar. <br> Melee Weapon Attack:+10 to hit, reach 10 ft., one target. <br>Hit:21 (3d8 + 8) piercing damage.; ; Keen Smell. <br>Blagothkus has advantage on Wisdom (Perception) checks that rely on smell.<br>Innate Spellcasting. <br>Blagothkus can innately cast the following spells (spell save DC 15), requiring no material components:<br>3/day each: fog cloud, levitate<br>Spellcasting. <br>Blagothkus is a 5th-level Spellcaster that uses Intelligence as his spellcasting ability (spell save DC 15, +7 to hit with spell attacks). Blagothkus has the following spells <br>prepared from the wizard spell list:<br>Cantrips (at will): light, mage hand, prestidigitation<br>1st level (4 slots): detect magic, identify, magic missile, shield<br>2nd level (3 slots): gust of wind, misty step, shatter<br>3rd level (2 slots): fly, lightning bolt
